en,cn
Login, Логін
Logout, Вийти
Email, Електронна пошта
Password, Пароль
Forgot your password?, Забули свій пароль?
Create an account, Створити аккаунт
Register, Зареєструватися
Full Name, Повне ім'я
Full name, Повне ім'я
SIGN IN, УВІЙТИ
Order History, Історія Замовлень
Account Details, Профіль
You have not placed any orders yet, Ви ще не зробили жодного замовлення
My Account, Мій рахунок
Already have an account?, Вже є аккаунт?
Contact information, Контактна інформація
City, Місто
Account Information, Інформація про обліковий запис
Address, Адреса
Postcode, Поштовий індекс
Postcode is required, Необхідно вказати поштовий індекс
Telephone is required, Телефон обов'язковий
Telephone, Телефон
Full name is required, Введіть повне ім’я
Country is required, Необхідно вказати країну
Country, Країна
Province is required, Необхідно вказати область
Province, Область
Billing Address, Платіжна адреса
Shipping Address, Адреса доставки
Create A New Account, Створити новий акаунт
Contact, Контакт
Customer information, Інформація споживача